Accession,Species,Genus,Family,Length,Protein,Geo_Location,Host,Isolation_Source,Collection_Date
YP_010085118.1,Shuangao insect-associated chrysovirus,Alphachrysovirus,Chrysoviridae,1118,RdRp,Australia: South Guildford,,,2015-08-19
YP_009666328.1,Persea americana chrysovirus,Alphachrysovirus,Chrysoviridae,1093,putative RNA-dependent RNA polymerase,Spain,,,2010
YP_009667023.1,Anthurium mosaic-associated chrysovirus,Alphachrysovirus,Chrysoviridae,1099,putative RNA-dependent RNA polymerase,USA,,,2008-07
UFJ44705.1,Penicillium chrysogenum virus,Alphachrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,Egypt,Penicillium chrysogenum,,2015
QTW97792.1,Chrysoviridae sp.,,Chrysoviridae,1118,RNA-dependent RNA polymerase,China,,,2018-07-25
QRW42729.1,Hubei chryso-like virus 1,,,1118,RNA-dependent RNA polymerase,"USA: San Diego County, California",Culex quinquefasciatus,,2017-12-27
QRW42852.1,Keturi virus,,,1120,RNA-dependent RNA polymerase,"USA: Alameda County, California",Culex erythrothorax,,2017-10-07
QRD99892.1,Soufli chryso-like virus,,Chrysoviridae,1118,RNA-dependent RNA polymerase,Greece:Thrace,,,2019
QRD99893.1,Xanthi chryso-like virus,,Chrysoviridae,1118,RNA-dependent RNA polymerase,Greece:Thrace,,,2019
QRD99909.1,Evros chryso-like virus,,Chrysoviridae,1030,RNA-dependent RNA polymerase,Greece:Thrace,,,2019
QLJ83488.1,Broome chryso-like virus 1,,Chrysoviridae,1118,RNA-dependent RNA polymerase,Australia,,,2018-04-09
BBV14774.1,Barley aphid RNA virus 8,,,1132,RNA dependent RNA polymerase,Japan:Kurashiki,Rhopalosiphum maidis,,2017
QHA33836.1,Salado alphachrysovirus,Alphachrysovirus,Chrysoviridae,1120,RdRp,Colombia,,,2016-04
QGA70949.1,Eskilstorp virus,,Chrysoviridae,956,RNA-dependent RNA polymerase,Sweden,,,2007
AYP71812.1,Penicillium roseopurpureum chrysovirus 1,Chrysovirus,Chrysoviridae,1117,RNA-dependent RNA polymerase,Italy,Penicillium roseopurpureum,,2017-01
APG76028.1,Hubei chryso-like virus 2,,,1119,hypothetical protein,China,Diptera,,2013
APG76049.1,Wuhan insect virus 30,,,1113,hypothetical protein,China,Insecta,,2013
